"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral
Truck and tractor drivers,"driver, teamster, trucker",1990,-0.1225925526020869,-0.02182602635938199,-0.0072304103258436945,-0.07779392868402372,-0.014135239556059545
Welders and flame cutters,"jointer, welder",1990,-0.08055923760672791,0.03519811436548048,0.060149433718447096,-0.06572463939958924,0.02171345998378655
Plumbers and pipe fitters,plumber,1990,-0.08655447361854744,-0.09098474590233774,0.04322868019246012,-0.08488800098176696,0.0612981128106182
Auto mechanics apprentice,"mechanician, apprentice",1990,-0.0687032401027747,0.08854073896493224,-0.02964078274002814,-0.0005541267780009157,0.03867309551033873
Messengers and office boys,"mailperson, messenger, mailer",1990,-0.09734885813247257,0.015868595276938444,-0.07392409330483805,-0.026899772200365223,0.002512999266085808
"Baggagemen, transportation","porter, handler",1990,-0.018073986058982507,0.07071856574779835,0.06889687429737229,0.04088286432891028,-0.028234815113362
"Farm laborers, wage workers","laborer, farmer",1990,-0.11679380425318985,-0.11492244423469135,-0.09324635774666608,-0.19255370990729828,0.06893678085512561
Compositors and typesetters,"compositor, typesetter",1990,-0.05473451815567864,0.03531532311378631,-0.005124502339337339,0.00655645831056484,0.052864368835686244
Longshoremen and stevedores,"laborer, docker, loader, stevedore",1990,-0.10461519083445443,-0.07935164272505528,0.0008612735389781218,-0.05911203624644887,0.00015212398338788902
Statisticians and actuaries,"statistician, accountant, actuary",1990,-0.0571350054200491,0.13627582598596985,0.014730756922986143,-0.005451112311714137,0.027024012354212715
Farmers (owners and tenants),"farmer, owner, tenant",1990,-0.04979456495233903,-0.04859609355309261,-0.039270543181807664,-0.08296573540797401,0.045524936534371285
Musicians and music teachers,"musician, teacher",1990,0.06509257778482812,0.08161093891981,0.0586233271603281,0.002687170927327766,0.15039117682998326
Insurance agents and brokers,"broker, agent",1990,-0.07717189829906289,0.10734560773578146,0.012144672006676571,0.02873597289305183,-0.020392426922861914
"Buyers and dept heads, store","head, buyer, manager",1990,-0.043823198818126595,-0.03386955449338206,0.02226443096535413,0.0058093422231158655,0.015262206076551902
Mine operatives and laborers,"laborer, operator, miner",1990,-0.06939335733381004,-0.043472141693017476,-0.030281247591084887,-0.09429469817340948,0.018262930023882754
Therapists and healers (nec),"therapist, healer, professional",1990,0.06913366330858359,0.07834928381785268,0.022245903354374996,-0.020383469398869564,0.1395522780894327
Counter and fountain workers,counter,1990,0.0628611326072147,-0.08765590051562926,-0.03363654875317548,-0.02329543146153745,-0.07942903760424024
"Collectors, bill and account","collector, biller, accountant",1990,-0.06438127189280211,0.07656413910136275,-0.023929334444751666,0.08231304214199177,0.02632111154874331
Dietitians and nutritionists,"dietitian, nutritionist",1990,0.25876659183173023,0.1317662912936997,0.16994813054445035,0.05562584854358537,0.14971952998716836
Photographic process workers,"processor, photographer, operator, technician",1990,-0.004372761200109657,0.03536267972141361,0.05101856944804392,-0.0009554125596704273,0.0006485159927991863
Geologists and geophysicists,"geologist, geophysicist",1990,-0.08559948929761264,0.17843926260532034,0.05761750646077607,0.030570410221833398,0.029746172844018426
"Nurses, student professional","nurse, student, professional",1990,0.13788544102010122,0.08115160443337961,0.06811999322860669,-0.03119603954423981,0.10404603923625061
College presidents and deans,"dean, college, president, professor",1990,-0.04795619743036187,0.13503906800722684,0.06626091342534383,-0.0026733251462578173,-0.0022584280435397524
Dancers and dancing teachers,"dancer, teacher",1990,0.17737384339784418,0.05669130277980166,0.060277085499579455,0.026614196262320332,0.11426979947275073
"Apprentices, printing trades","trader, apprentice",1990,-0.12330503844303098,0.07920093996633976,-0.01348554448087386,0.011650214584819308,0.027819512894668205
Members of the armed services,soldier,1990,-0.1149491349952903,-0.02001180301272449,-0.0006389233795981858,-0.1501798830596464,0.16607926426721753
Mechanics and repairmen (nec),"mechanics, repairer, mechanician",1990,-0.10300868581130293,-0.09096873005398864,-0.00833740265462235,-0.026225156069117468,0.013641098726892807
Shipping and receiving clerks,"clerk, handler, register",1990,0.006006211259359458,-0.006197914837602404,0.011989404441135566,-0.02943089933241987,-0.004954971058354604
Cement and concrete finishers,"laborer, finisher, mason",1990,-0.05780094459495857,-0.005831133456603899,0.030536060640164234,-0.05064640142170814,0.09432463285356824
"Rollers and roll hands, metal","roller, blacksmith",1990,0.015269749024100901,-0.017711236077754305,0.0012971961145691064,0.01089382368303423,0.08767545847168563
Motion picture projectionists,projectionist,1990,-0.11329879555647021,0.08610336251331405,0.07775052551327055,0.03985387285047826,-0.05540987762088491
Medical and dental-technicians,"technician, dentist, professional",1990,-0.0111896138335206,0.08023394387979882,0.08050648124265962,-0.012229622660631873,0.04249245522275449
Real estate agents and brokers,"broker, sales, agent",1990,-0.054033926912276174,0.07034497002943782,0.02746553167495146,0.053317575456894035,-0.02687509203164164
Taxicab drivers and chauffeurs,"driver, chauffeur, cabbie, cabby",1990,-0.048068187369732035,-0.017979574802303482,-0.016802876328160292,-0.01723026717063872,-0.021864212964876478
Airplane pilots and navigators,"pilot, navigator",1990,-0.09802252659224617,0.01594630713094533,0.04610164575020012,-0.006297780423680628,0.025230192850837052
Decorators and window dressers,"decorator, dresser",1990,0.1046367170376845,0.031010532026547213,0.0740590729450116,0.14498104632672865,0.059399282218999476
Foresters and conservationists,"conservationist, forester",1990,0.0006498598459057561,0.12133637698849435,0.007040410469074665,0.030807885184383023,0.12682694251626894
Electrotypers and stereotypers,"stereotyper, eletrotyper",1990,,,,,
Salesmen and sales clerks (nec),"sales, clerk",1990,-0.009838829633354786,-0.019121640923930174,0.02991215947992441,0.015014421384871433,-0.024494159356816002
Private household workers (nec),housekeeper,1990,0.23847493263741865,-0.03810875847315623,-0.00533703335183669,-0.047559159422523645,0.06934170930132069
"Cooks, except private household","cook, chef",1990,0.04941803967896535,0.047063767821432734,0.09504178532866833,0.10251297481391457,0.10507513940482349
"Laundressses, private household","housekeeper, washer",1990,0.15246282592486912,-0.07166027263640434,0.029052231954474747,-0.0357323925169673,0.06318378231263175
"Housekeepers, private household",housekeeper,1990,0.23847493263741865,-0.03810875847315623,-0.00533703335183669,-0.047559159422523645,0.06934170930132069
Advertising agents and salesmen,"salesperson, sales, advertiser",1990,0.029320826993551975,0.019566115833951427,0.013090956669633363,0.10277963314593352,0.04323076797696213
"Oilers and greaser, except auto","oiler, greaser",1990,-0.10630760676300209,0.03827585166203357,-0.041115883031276806,0.016271404411061622,0.02050601188205431
Funeral directors and embalmers,embalmer,1990,-0.032022977870454904,0.04719059431862387,-0.11068232677544411,-0.025705444948894797,0.0409573175993215
Stone cutters and stone carvers,"carver, cutter, mason",1990,-0.06356779289628135,-0.031261175169341994,0.030854601807640963,0.03212539668873752,0.04318776034164762
Airplane-mechanics and repairmen,"mechanician, repairer",1990,,,,,
Sports instructors and officials,"athlete, official, instructor",1990,0.009449009406727825,0.11841716527775852,0.05894407881209294,0.02542779056832049,0.06637698648234135
Photoengravers and lithographers,"photoengraver, lithographer",1990,,,,,
"Ushers, recreation and amusement","usher, guide, commissionaire, attendant",1990,0.037244946460314066,-0.002319288502921161,-0.013364336032336601,-0.00544248139730492,0.04838989798859494
"Millers, grain, flour, feed, etc.",miller,1990,-0.02712265317223411,0.09972693227531612,0.06609350779178391,0.040765920550696125,0.044554502964974846
"Engravers, except photoengravers","engraver, etcher",1990,-0.06586891992028607,0.1836502652139002,-0.10280465313837174,0.11464799431244467,0.0759830475585079
"Apprentices, trade not specified","apprentice, tradeperson, trader",1990,-0.12330503844303098,0.07920093996633976,-0.01348554448087386,0.011650214584819308,0.027819512894668205
"Guards, watchmen, and doorkeepers","guard, doorkeeper",1990,-0.07434514675562486,0.05483528609588574,-0.02550987485913856,0.019264845583698675,-0.00726723754530785
Imputed keeping house (1850-1900),housekeeper,1990,0.23847493263741865,-0.03810875847315623,-0.00533703335183669,-0.047559159422523645,0.06934170930132069
"Cranemen, derrickmen, and hoistmen","craneperson, derrickperson, hoister",1990,,,,,
"Inspectors, public administration","administrator, inspector",1990,-0.06584985080305049,0.04985840452807546,-0.018539335657703437,-0.06233016506221739,-0.006464004930778696
"Dispatchers and starters, vehicle","dispatcher, starter",1990,-0.10710074824901965,-0.0049070721853931,0.07400730634461507,-0.007005224227473988,0.07436933285183797
"Mechanics, except auto apprentice","mechanics, mechanician",1990,-0.10300868581130293,-0.09096873005398864,-0.00833740265462235,-0.026225156069117468,0.013641098726892807
Bricklayers and masons apprentice,"bricklayer, mason, apprentice",1990,-0.06993405089166435,0.04865844286972448,0.03502031929586782,-0.02731935378760197,0.050433177573647146
Automobile-mechanics and repairmen,"mechanic, mechanician, repairer",1990,-0.15671735406540482,0.009225888175552515,0.09330483150820018,-0.03493227005333689,0.08307717500414837
Purchasing agents and buyers (nec),"buyer, agent",1990,-0.05575766826641808,0.038248842711367095,0.020582253322068304,0.018275408919508514,-0.028716450333924025
"Attendants and assistants, library","attendant, assistant",1990,0.07262565848389925,0.042561418667167575,0.014634262130895297,-0.0472778583519607,-0.011209641757978561
"Furnacemen, smeltermen and pourers","furnaceperson, smelterperson, pourer",1990,,,,,
Boarding and lodging house keepers,"housekeeper, porter",1990,0.11073019923528031,0.03443934521503952,0.022095221523094684,0.014651838476760937,0.038246265883204955
"Conductors, bus and street railway","driver, conductor",1990,-0.06448675223731859,0.05840706279554682,-0.00814478163514796,-0.0035388655439083927,0.04532264759802647
"Buyers and shippers, farm products","buyer, shipper, agent",1990,-0.057265714014947455,0.03374299271364812,0.03678395657234889,0.03417666418538224,-0.04278717753131315
Physics-Professors and instructors,"physicist, professor",1990,-0.08169820232348061,0.15889430576102892,0.05410678893543691,0.002469251735843895,0.018167440510776553
"Apprentices, building trades (nec)","trader, tradeperson, apprentice, builder",1990,-0.10760875050899715,0.07138278197358926,0.015882060857584635,0.061353912536991094,0.06060477786433138
"Floormen and floor managers, store","floorer, floorperson, manager, guard",1990,-0.06269217288477114,0.0014840146646271264,0.05014563924216479,0.010679763406683012,0.013792645995451963
Operative and kindred workers (nec),"mechanician, operator, clerk",1990,-0.024337038764508094,-0.01992497257329354,0.02078386574742144,-0.03009969145283816,-0.019340234398628378
Craftsmen and kindred workers (nec),"artificer, artisan, clerk",1990,-0.022758742490597693,0.0060230583708138115,-0.03465282180406798,-0.026104306189137803,0.04484977866395148
Laundry and dry cleaning operatives,"washer, operator, cleaner, operative",1990,0.002471629821541449,-0.07289504837840471,0.015241133591295654,-0.015058062333144759,0.016638708857413514
"Ticket, station, and express agents","doorkeeper, seller, agent",1990,-0.04657782748005207,0.08899206115802873,-0.012748260000882599,0.018942144100519948,-0.041303137729917595
"Heat treaters, annealers, temperers","annealer, temperer, heattreater",1990,,,,,
"Boatmen, canalmen, and lock keepers","boatperson, canalperson, lockkeeper, beefeater",1990,-0.015926717623108946,-0.019825423850902895,-0.03355790955996633,0.1910731915606857,0.05374842828234099
"Apprentices, other specified trades","trader, apprentice",1990,-0.12330503844303098,0.07920093996633976,-0.01348554448087386,0.011650214584819308,0.027819512894668205
"Farm laborers, unpaid family workers","laborer, farmer",1990,-0.11679380425318985,-0.11492244423469135,-0.09324635774666608,-0.19255370990729828,0.06893678085512561
Machinists and toolmakers apprentice,"machinist, toolmaker, appentice",1990,-0.13792625496399405,0.12856314784404432,0.11217175157263684,0.0755247512976023,0.06975359013269927
Plumbers and pipe fitters apprentice,"plumber, apprentice",1990,-0.07762885686066107,-0.0012220034687027495,0.006793948726215991,-0.04272106387988394,0.04998560416047847
Chemistry-Professors and instructors,"chemist, professor",1990,-0.07523868545710666,0.15011230089574562,0.05884184992613768,-0.0040126328518221115,0.025745100706668064
Economics-Professors and instructors,"economist, professor",1990,-0.06658304367274966,0.20856346427814365,0.05676980577451879,-0.009917043629984194,0.004329301422611101
Piano and organ tuners and repairmen,"tuner, repairer, technian",1990,-0.09206583296178392,0.07185002817086766,-0.002188894216715684,0.0892193919138057,0.0621550932756753
"Farm service laborers, self-employed","laborer, farmer",1990,-0.11679380425318985,-0.11492244423469135,-0.09324635774666608,-0.19255370990729828,0.06893678085512561
Clerical and kindred workers (n.e.c.),clerk,1990,-0.011919675128006856,-0.03458697646461089,0.0017170679483475768,-0.0724519378148356,-0.009147896464430916
"Barbers, beauticians, and manicurists","barber, beautician, and manicurist",1990,0.0796772992669464,0.09147570368965771,0.03993656909399322,0.03753192703866436,0.10121523057426524
Personnel and labor relations workers,"hr, liason, coordinator",1990,0.01951485450454378,0.06075662156134896,0.06942794828076662,-0.03565091444414148,0.04112605164789944
"Pressmen and plate printers, printing","printer, pressperson",1990,-0.015059476180231963,0.009175919478082991,-0.03644901213306852,0.023695656892311998,-0.013524967165774513
"Lumbermen, raftsmen, and woodchoppers","lumberjack, cutter, logger, woodchopper",1990,-0.09338113141341271,-0.03311267423212185,0.024854678669075776,-0.00018440303430686256,0.07766194505656744
Psychology-Professors and instructors,"phychologist, professor",1990,-0.04710229134960095,0.147556372442861,0.08070461290622959,-0.03321134439207021,-0.0032917213386508305
Statistics-Professors and instructors,"professor, statistician",1990,-0.051038322726074475,0.1464749994657073,0.07127808964268353,-0.034622785022611555,0.03522803063082729
