"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral,evaluation,potency,activity
Furriers,furrier,1900,-0.05913786149979668,0.11195193949140353,0.056512564971576015,0.003924769087239106,-0.07932503306437193,-0.029307250128389223,0.08553477293914,-0.10776005675719039
Athletes,athlete,1900,-0.04753214666175491,0.12576876431011647,-0.02826610121332535,0.063856514150011,0.05913262650487116,0.0388316134422372,0.13738420956274167,-0.029660892871623726
Midwives,midwife,1900,0.12026773706512611,0.028061085812411842,0.014535183204133304,0.0069095348931610436,0.09620088729646664,0.10849640963555544,-0.033830524228417716,-0.050246385944395094
Draftsmen,"draftsperson, sketcher, delineator",1900,0.037631744730085674,0.004422423771463294,-0.04115105810378825,-0.0035967433133039725,-0.08085437119213498,-0.043713769216328247,0.03438494894822609,-0.16461110933752524
Designers,designer,1900,0.015309680686793243,0.0688499513121267,-0.025804839801643498,0.04768731674614283,0.027066032549560748,0.09088867782726466,0.13098475177119895,-0.18679128199638334
Clergymen,clergy,1900,-0.006982220015246746,0.058299030757100176,0.05212038895447452,-0.026440372786909555,0.044354742480702564,-0.01394930619260622,-0.008636648105268256,-0.06328129103625174
Teamsters,"teamster, driver, trucker",1900,-0.019642546813732037,0.06834242871676258,0.02469955371412522,-0.014678339074078423,0.032360591756334156,0.026637675032059008,0.08539171033983028,-0.04916234071882919
Surveyors,surveyor,1900,-0.10096312755604073,0.14838642306114394,0.08256477868696047,-0.007896033904756364,0.061304252444723206,0.05272443542317001,0.16907539472818733,-0.07821532144045731
Milliners,milliner,1900,0.14305487256796545,-0.06078351452389451,-0.055467435310323734,-0.026506901183119665,-0.00616941066972099,0.08146239909279193,-0.03614968570815871,-0.058597834688011725
Carpenters,"carpenter, carpenters",1900,0.005323780199676443,0.001831841227088092,0.040724902654451486,0.00012972892864937524,0.05361340363920992,0.10761802622418193,0.08204793409397927,0.00861258349489753
Machinists,machinist,1900,0.0472312694739732,0.040854777261851646,-0.020455398667213288,0.01459414112363838,0.01330827698128828,0.07058677313954331,0.13284709966211702,0.03018696921814839
Bartenders,bartender,1900,-0.05906691466572586,0.12406844065996729,0.018597949480527683,-0.020359450195637653,-0.0107114834658412,0.05663067359846701,0.1633628944516495,0.03718544038935764
Librarians,"librarian, librarians",1900,0.00943873385125182,0.15744827266515204,0.09766411034670486,0.050091228649031386,0.012766106716561247,0.08154140829825668,0.10499007491440121,-0.10968059010131398
Economists,economist,1900,-0.09998108856077488,0.10607022852971093,-0.06373368215887912,0.04383769153479052,-0.022114917401401916,0.015682196523257818,0.20209167385829868,0.015587362314611553
Architects,architect,1900,-0.10041195502006933,0.16594971092652772,-0.06132854109799014,0.05170736413023985,-0.0007423144516886006,0.0799948850306094,0.18331464243657158,-0.05187917567481851
Plasterers,plasterer,1900,0.04632336399482144,0.03019625066724832,0.011862271323883936,-0.02611919732903714,-0.08537756673131763,-0.03508277427868388,0.014947271821419389,0.04469198319054124
Physicists,physicist,1900,-0.07774452993892683,0.04743509779279348,-0.057767233005375646,-0.02498457569462071,0.03547627007882809,0.051085503877029995,0.059822947133299366,-0.07387143111409626
Bootblacks,bootblack,1900,-0.009085813921780447,0.04719016426505299,0.04559617094954101,-0.027071910235582173,-0.07194225825036706,-0.035714292420688847,0.09150846982522573,-0.054784021208614246
Osteopaths,osteopath,1900,,,,,,,,
Bookkeepers,bookkeeper,1900,0.08406762227730209,0.043103738574714764,0.019183837349486383,-0.055639476243916595,-0.14422367627762295,-0.08417439316922014,0.04437352142949459,-0.03994271062737254
Bus drivers,"driver, chauffeur",1900,-0.037408840695320314,0.01539212181854454,-0.03566736619179222,-0.0783933252951249,0.01411612223201084,0.011932891658677511,0.03953465553969688,-0.01144032021835098
Blacksmiths,blacksmith,1900,0.015345059758427284,-0.04616232249472482,-0.01506327019007437,-0.04273215765709675,-0.0017121117007113489,0.04594547222605602,-0.008204798836430233,0.02500305052113873
Pharmacists,pharmacist,1900,0.02046932582023557,0.019196142481807774,-0.0028731548487624034,-0.04591800744011817,-0.00442829884574162,0.01865662309873762,0.002209244298575653,-0.1100734134607938
Millwrights,millwright ,1900,,,,,,,,
