"Occupation, 1950 basis",Single words,year,gender,prestige,education,income,moral,evaluation,potency,activity
Designers,designer,1900,-0.17598935352439327,0.1648721131159934,0.07108297190279372,0.12549012817235464,0.05959470981196306,0.12538707559935536,0.1955935556325742,-0.05419875370343583
Clergymen,clergy,1900,-0.037939536480832516,0.06394421027715186,-0.16483221893541783,-0.06258984655689438,0.04232356665913281,0.00203820759237891,0.023355842096893918,-0.06662065643649584
Teamsters,"teamster, driver, trucker",1900,-0.1180335078357122,0.03613955821838538,0.03806156881761527,-0.13154053258128245,-0.047789350648034336,-0.03456052470730322,0.00424287580545225,0.045992423327441134
Surveyors,surveyor,1900,-0.22532260527009512,0.18455668191166122,0.14428566585989447,0.0042379173163710464,0.003989726626793108,0.12402833976297983,0.17054693378741284,0.01869766942739346
Milliners,milliner,1900,0.09693449618267067,0.032427482621735275,0.042659526405963294,-0.12092895838930348,-0.007076440051892307,0.07200784588022477,-0.039883111903156326,-0.0003900449977422213
Carpenters,"carpenter, carpenters",1900,-0.1680436412375529,0.07756534579512608,0.041093098690060614,-0.16121813772960192,0.028368878941775026,0.08163703231029736,0.07147759683319443,0.03234011577450632
Machinists,machinist,1900,-0.25513469775383,0.17231249284855188,0.058922009555111746,0.027573529903835065,0.01678424768837011,0.1179299950257292,0.23778008673768247,0.030576211335809726
Bartenders,bartender,1900,-0.11512981373729193,0.038144568463821804,0.06976578005588598,-0.16267502524947622,-0.1487280080748622,-0.13090078547023637,0.015802108725719525,0.0074830879167503694
Librarians,"librarian, librarians",1900,-0.10921686658301893,0.20062656098782028,0.15630271631794884,0.0575333132644872,0.1019128977193538,0.19286232931401318,0.13676868117214408,-0.05106096067848251
Economists,economist,1900,-0.1918616941109239,0.1767023682138001,-0.08930738850219205,7.4819068593846155e-06,0.0955690878030965,0.0642839686611281,0.2707955710260033,0.042587618363835456
Architects,architect,1900,-0.09546768105633227,0.1360060771259793,0.05075004231759733,-0.0008256673293740927,0.07077167913176838,0.14461687869591358,0.19187553432554547,-0.08435905382962067
Plasterers,plasterer,1900,,,,,,,,
Physicists,physicist,1900,-0.12989379676176446,0.260951817450919,-0.01043686133713459,-0.027367511312905005,0.12466780678485509,0.12944484266102965,0.21991685789133247,-0.013532173568097354
Bootblacks,bootblack,1900,,,,,,,,
Osteopaths,osteopath,1900,,,,,,,,
Bookkeepers,bookkeeper,1900,-0.09579219534856707,0.06455029727014897,0.02372741479382772,-0.13161722827456912,0.0049407985975349795,0.0012644298534935567,0.0677237616297307,-0.045966746202012555
Bus drivers,"driver, chauffeur",1900,-0.05947424264865151,0.03102169649598079,0.02640117041878981,-0.1267862646769732,-0.1142089683708458,-0.0875361092861085,-0.015413567997585023,0.025503716488387902
Blacksmiths,blacksmith,1900,-0.14959909616968128,-0.08641491835247275,0.040032791622681196,-0.14791290099836701,-0.04610442566786488,-0.02972086648881548,0.024653552503643275,0.11429710462917514
Pharmacists,pharmacist,1900,,,,,,,,
Millwrights,millwright ,1900,,,,,,,,
Bookbinders,"bookbinder, bibliopegist",1900,,,,,,,,
Postmasters,"postmaster, mailperson",1900,-0.21573525316321365,0.1525649593715802,0.11277618361803438,-0.053061542480952184,0.022025358874162668,0.11767928450522497,0.1349624323360668,-0.02839579329396318
Loom fixers,"loomfixer, loomer",1900,,,,,,,,
Auctioneers,auctioneer,1900,,,,,,,,
Electricians,electrician,1900,,,,,,,,
Bank tellers,teller,1900,-0.08651034908481106,-0.06580771601668584,-0.11524991609958213,-0.10346482093470781,0.03847467841269183,0.04619705964680569,0.05725117071991038,0.033660286436920435
Agents (nec),agent,1900,-0.1133977688717026,0.060763330584746485,0.028175163991684096,-0.03126625690978901,-0.08097543023699177,0.012664839477885863,0.1467353512532042,-0.04882044615479887
Upholsterers,upholsterer,1900,,,,,,,,
Boilermakers,boilermaker,1900,,,,,,,,
Optometrists,optometrist,1900,,,,,,,,
Paperhangers,paperhanger,1900,,,,,,,,
